topic,K,semcoh,heldout,residual,lbound
prisoners_rights,2,-49.47653490186917,-6.73472470112657,1.3391061622232747,-68933.66951052686
prisoners_rights,3,-56.2278337423935,-6.775806846610156,1.3213465579959027,-68106.34213487261
prisoners_rights,4,-55.209590529021824,-6.806759816083943,1.2873141966057637,-67217.42110085372
prisoners_rights,5,-58.09724276703439,-6.895662036535224,1.251815469364481,-66399.6339646665
prisoners_rights,6,-60.90787660877432,-6.905547744226281,1.2543350199382146,-65912.08730934987
prisoners_rights,7,-60.52056576176042,-7.007079660421092,1.2447949393233888,-65333.991133133204
climate_activists,2,-23.978613205582583,-6.736052074762381,1.290569320411563,-89639.08867770403
climate_activists,3,-32.756631691088586,-6.784071280424189,1.3054483382195898,-88504.37907487286
climate_activists,4,-28.90683224445847,-6.904344410101875,1.2710158792117716,-87784.79998029105
climate_activists,5,-30.21735981144876,-7.050353263487856,1.2547302534977154,-86904.81921828845
climate_activists,6,-32.11639865595961,-7.042138500014916,1.238762360538695,-86211.32026127761
climate_activists,7,-35.862977250042896,-7.105912430633334,1.232049401269715,-85680.77751645654
migrants,2,-57.333678042290856,-6.619012403113671,1.273476456157386,-36169.42754297941
migrants,3,-63.76336110956665,-6.590927118707465,1.2925694185596093,-35463.831315513096
migrants,4,-64.44923428461937,-6.740929660869815,1.2346030199079732,-35024.38543683399
migrants,5,-70.54649959406123,-6.702064723465326,1.2263632106993292,-34583.40494738685
migrants,6,-77.29889680549903,-6.852029991778308,1.2380535131908526,-34129.66817776517
migrants,7,-78.0897766051957,-6.984659024059678,1.2457199992791195,-33713.34545511767
police_security,2,-50.91990018659523,-6.153212658957766,1.2827217338937194,-26392.328305658983
police_security,3,-55.454936307087785,-6.335746585996086,1.2343972351153254,-25871.538334511013
police_security,4,-60.88033870579499,-6.2781479998194945,1.2258563922392223,-25470.696709265074
police_security,5,-70.5484317723438,-6.344896854423857,1.2239467014937755,-25142.243070344048
police_security,6,-61.920006744773985,-6.313135699017102,1.2292885216901073,-24842.685853196588
police_security,7,-64.79125494770433,-6.377943610906069,1.2805341918979414,-24526.773239627437
labor,2,-54.64917194768067,-6.3269672958422625,1.2779247457419738,-26527.976971354252
labor,3,-66.8797075741539,-6.4022629509401066,1.2505876792657957,-25992.649160976478
labor,4,-62.906145899609285,-6.4142580672164025,1.2371020186511328,-25663.07434462888
labor,5,-64.3956236479728,-6.546756621494804,1.268897650298622,-25338.246087250824
labor,6,-70.3242202556347,-6.555555881670787,1.3159700087144617,-25011.31283640089
labor,7,-71.19148506585408,-6.532610571155417,1.3471668670012695,-24626.68505927419
far_right,2,-48.194598623860315,-6.38011414365106,1.2333018328819716,-24204.23145054594
far_right,3,-51.696010420636576,-6.417431230787351,1.207749518954027,-23742.30962166341
far_right,4,-64.42249283814206,-6.6077877744250495,1.2127746252157396,-23278.9928914548
far_right,5,-72.8568206334004,-6.627920917615223,1.2232853108246173,-22883.81690276877
far_right,6,-59.064382935545666,-6.799882318183956,1.3100354393358002,-22565.777307213546
far_right,7,-56.96278227979461,-7.024637761648527,1.3379080723487637,-22257.618860012273
pro_palestine,2,-53.54231592284279,-6.047082952154814,1.2933683548568868,-19532.094066637324
pro_palestine,3,-55.99139194153439,-6.0427574220896245,1.2297814613882483,-19047.20535832855
pro_palestine,4,-60.82762502886201,-6.178632966963917,1.2287631553278116,-18818.818470865408
pro_palestine,5,-54.84515531029384,-6.293494776368078,1.2537313691467387,-18428.387870712286
pro_palestine,6,-58.66327054988259,-7.351615862531478,1.3225113789002354,-18139.128568413627
pro_palestine,7,-55.64477087592162,-6.458478077474992,1.4196986788367925,-17874.14731217377
students,2,-64.71543447026224,-6.194748027463815,1.2831417808074799,-17395.1367866581
students,3,-62.20428146227752,-6.2786975326044185,1.2432349559350675,-17061.71253380124
students,4,-60.3329803363404,-6.39645854341478,1.272606220402669,-16705.59232022814
students,5,-67.63695864029363,-6.825646047598246,1.2899448813829888,-16468.84970111776
students,6,-61.92175184001658,-6.836728992773397,1.3904497150920345,-16245.106789887026
students,7,-66.90727875300432,-6.754485417616636,1.4217248090725945,-16034.374873096991
antisemitism,2,-54.281335208712875,-6.308776650952557,1.2932312769943024,-16391.913872067533
antisemitism,3,-57.571319517823234,-6.208134664282091,1.303197281068291,-16116.334388684209
antisemitism,4,-62.044523769459666,-6.563888448649433,1.3017038387543531,-15776.747132527484
antisemitism,5,-72.9554375017885,-6.420674813234084,1.2902951290350306,-15500.364111592797
antisemitism,6,-74.3849931406565,-6.754032867095368,1.3771813325205424,-15281.213542629235
antisemitism,7,-70.88244409196346,-6.7275082348614035,1.4216123833400094,-15178.171947081482
no_vax,2,-50.22785529754688,-6.22678867173779,1.2823667764889954,-14584.140350565702
no_vax,3,-57.102247664251266,-6.472419125905571,1.276706995041695,-14281.102454514215
no_vax,4,-56.49130895416486,-6.7437593833178795,1.2720945917579214,-14012.538339362336
no_vax,5,-62.16995354262319,-6.864805350729162,1.3346132879335444,-13731.582924383769
no_vax,6,-60.112429469019766,-6.990633439891962,1.4360515453388991,-13557.72686409518
no_vax,7,-63.52455080597877,-7.040227734662327,1.5467126102744904,-13390.170007821844
