topic,AVS,AZIONE,FDI,IV,LEGA,M5S,PD,+EUROPA,FI,LEU,MISTO
antifascist,2,1,7,1,2,3,10,0,0,0,0
antisemitism,6,0,13,2,2,2,18,1,5,3,0
climate_activists,29,2,11,6,9,25,41,0,2,0,0
far_left,1,2,17,0,3,1,2,0,1,0,1
far_right,15,1,4,5,0,9,42,0,5,4,2
labor,36,0,15,0,2,16,8,1,3,0,2
lgbtq,4,0,3,1,2,1,7,0,3,1,0
migrants,26,0,27,3,21,11,41,3,3,7,2
no_tav,1,0,1,3,1,1,2,0,5,1,2
no_vax,5,0,4,6,0,7,22,0,1,3,5
police_security,21,1,20,3,10,17,28,3,8,1,1
prisoners_rights,34,3,19,14,8,41,57,4,11,1,1
pro_palestine,18,0,12,1,2,15,8,0,2,0,0
students,14,0,5,1,1,17,14,0,2,1,0
unassigned,17,0,18,4,3,14,22,0,4,3,3
